1.840200,0.137600,0.209459
1.986500,0.168700,0.204605
2.133000,0.199100,0.201063
2.279700,0.229000,0.195562
2.426600,0.258100,0.187316
2.573800,0.286000,0.178303
2.721400,0.312600,0.165915
2.869500,0.337400,0.149515
3.018200,0.359800,0.134961
3.167700,0.380100,0.130672
3.317600,0.399800,0.132335
3.468600,0.419900,0.134793
3.620500,0.440500,0.149825
3.772200,0.463400,0.181438
3.922100,0.490900,0.216830
4.071900,0.523900,0.264083
4.220200,0.564000,0.330493
4.363900,0.613300,0.413990
4.500000,0.673100,0.515890
4.625900,0.744500,0.630791
4.739000,0.827100,0.757339
4.837900,0.920600,0.898383
4.921500,1.025600,1.042722
4.989400,1.142000,1.180110
5.041500,1.268500,1.303921
5.078600,1.404200,1.411433
5.101600,1.547300,1.501593
5.111900,1.695900,1.578043
5.110800,1.847700,1.633459
5.101200,2.000700,1.675332
5.085200,2.153200,1.705765
5.064600,2.304900,1.731437
5.040100,2.456100,1.751292
5.012600,2.606800,1.757915
4.984200,2.756800,1.753907
4.956700,2.905300,1.751358
4.929500,3.054300,1.761107
4.900700,3.203800,1.781616
4.868600,3.353800,1.815933
4.831400,3.502500,1.864137
4.787300,3.648500,1.922968
4.735300,3.790000,1.993958
4.674500,3.925000,2.074361
4.604200,4.052600,2.160149
4.524300,4.172100,2.251240
4.434700,4.282800,2.345721
4.335500,4.384100,2.435550
4.226900,4.476700,2.521827
4.109600,4.560400,2.605301
3.984600,4.634700,2.684015
3.852400,4.699800,2.748550
3.714200,4.757100,2.804202
3.571100,4.807300,2.848571
3.424600,4.851500,2.879396
3.276300,4.891300,2.898355
3.127600,4.928200,2.896934
2.980600,4.964900,2.902722
2.834000,5.000600,2.908866
2.687600,5.035300,2.920327
2.540900,5.068300,2.933515
2.393600,5.099400,2.951880
2.245700,5.127800,2.973608
2.097100,5.153000,2.993883
1.947900,5.175200,3.014606
1.798300,5.194300,3.040604
1.648300,5.209500,3.066650
1.497800,5.220800,3.100338
1.347600,5.227000,-3.134913
1.197900,5.226000,-3.073013
1.049400,5.215800,-3.012880
0.902600,5.196800,-2.966451
0.756800,5.171000,-2.916713
0.612100,5.137900,-2.868739
0.468800,5.097800,-2.822597
0.327100,5.051000,-2.779847
0.187300,4.998100,-2.745466
0.049100,4.940300,-2.723503
-0.089100,4.878900,-2.710192
-0.227700,4.815100,-2.682065
-0.363900,4.747700,-2.637848
-0.495800,4.675000,-2.598760
-0.623600,4.597900,-2.564991
-0.748000,4.517000,-2.538573
-0.869700,4.433200,-2.511547
-0.988600,4.346500,-2.479832
-1.104400,4.256300,-2.441782
-1.216400,4.162000,-2.398599
-1.324500,4.062700,-2.358112
-1.429000,3.958600,-2.317550
-1.529700,3.849800,-2.285768
-1.627200,3.737500,-2.261491
-1.722000,3.622800,-2.235713
-1.814200,3.505200,-2.213899
-1.904500,3.384700,-2.196695
-1.993700,3.261300,-2.207856
-2.084200,3.139000,-2.240370
-2.178000,3.020500,-2.284686
-2.276500,2.906800,-2.327712
-2.378800,2.798500,-2.358114
-2.483200,2.694500,-2.402808
-2.590900,2.596400,-2.462446
-2.704000,2.505100,-2.521662
-2.822800,2.420300,-2.597883
-2.947700,2.344800,-2.669380
-3.077900,2.278300,-2.732768
-3.212700,2.219900,-2.779744
-3.351400,2.167400,-2.823853
-3.493700,2.120600,-2.864476
-3.638900,2.079300,-2.892282
-3.785400,2.042000,-2.910578
-3.932500,2.007400,-2.920764
-4.079500,1.974400,-2.926825
-4.226200,1.942400,-2.925746
-4.372600,1.910300,-2.928442
-4.518600,1.878700,-2.945771
-4.665300,1.849600,-2.957558
-4.812500,1.822200,-2.965025
-4.959900,1.795900,-2.976773
-5.107800,1.771300,-2.984437
-5.256100,1.747800,-3.000917
-5.405100,1.726700,-3.021586
-5.555200,1.708600,-3.022164
-5.705200,1.690600,-3.015588
-5.854400,1.671700,-3.000923
-6.002700,1.650700,-2.981957
-6.149900,1.627000,-2.960416
-6.296200,1.600200,-2.951604
-6.441800,1.572200,-2.957201
-6.587100,1.545100,-2.961618
-6.732200,1.518700,-2.968062
-6.877100,1.493300,-2.973424
-7.022000,1.468700,-2.980358
-7.167100,1.445100,-2.992770
-7.312500,1.423300,-3.008817
-7.458500,1.403800,-3.022863
-7.605200,1.386300,-3.013723
-7.752200,1.367400,-3.010642
-7.899500,1.348000,-3.030639
-8.047600,1.331500,-3.049239
-8.196600,1.317700,-3.065688
-8.346500,1.306300,-3.064413
-8.496500,1.294700,-3.031747
-8.645200,1.278300,-3.000929
-8.792800,1.257400,-2.985165
-8.939900,1.234200,-2.968281
-9.086700,1.208500,-2.950642
-9.233100,1.180200,-2.938141
-9.379000,1.150100,-2.931436
-9.524800,1.119000,-2.921832
-9.670300,1.086500,-2.931055
-9.817700,1.055000,-2.947015
-9.967900,1.025400,-2.945344
-10.118800,0.995400,-2.929449
-10.268300,0.963200,-2.891314
-10.414600,0.925800,-2.840738
-10.557700,0.881400,-2.767460
-10.696000,0.827100,-2.710330
-10.829000,0.765900,-2.642190
-10.954200,0.697600,-2.546068
-11.070200,0.619000,-2.442136
-11.176100,0.529900,-2.337773
-11.272000,0.430400,-2.233098
-11.357700,0.320500,-2.124215
-11.431900,0.200400,-2.023254
-11.494800,0.071000,-1.941090
-11.548100,-0.066300,-1.873246
-11.593000,-0.210200,-1.821151
-11.631000,-0.358800,-1.786588
-11.664100,-0.509800,-1.768829
-11.694400,-0.660800,-1.770388
-11.724500,-0.809600,-1.767670
-11.753900,-0.957000,-1.750353
-11.780800,-1.105200,-1.735291
-11.805500,-1.254000,-1.730160
-11.829400,-1.402700,-1.730582
-11.853300,-1.551000,-1.723901
-11.876200,-1.699400,-1.717875
-11.898200,-1.847900,-1.702423
-11.917900,-1.996700,-1.694904
-11.936500,-2.145800,-1.686894
-11.953900,-2.295000,-1.675499
-11.969600,-2.444400,-1.658082
-11.982700,-2.594100,-1.636657
-11.992600,-2.744200,-1.620024
-12.000000,-2.894400,-1.622543
-12.007800,-3.045000,-1.627933
-12.016500,-3.197100,-1.628674
-12.025400,-3.350700,-1.616102
-12.032400,-3.505100,-1.595775
-12.036300,-3.661200,-1.557910
-12.034300,-3.816400,-1.502365
-12.023800,-3.969600,-1.427959
-12.002400,-4.118400,-1.337336
-11.968300,-4.261800,-1.230360
-11.919700,-4.399000,-1.105270
-11.855600,-4.526600,-0.966294
-11.776300,-4.641400,-0.811640
-11.681700,-4.741100,-0.645408
-11.572800,-4.823100,-0.470205
-11.451200,-4.884900,-0.290903
-11.318600,-4.924600,-0.115092
-11.177600,-4.940900,0.054227
-11.033900,-4.933100,0.220925
-10.893200,-4.901500,0.388554
-10.760800,-4.847300,0.561630
-10.642400,-4.772800,0.734108
-10.540000,-4.680400,0.900921
-10.454300,-4.572200,1.062513
-10.386500,-4.450500,1.211860
-10.336900,-4.318300,1.328478
-10.301900,-4.176700,1.427668
-10.280600,-4.028900,1.528854
-10.274200,-3.876400,1.607050
-10.279800,-3.722000,1.657618
-10.293300,-3.566900,1.687053
-10.311600,-3.410200,1.687683
-10.330000,-3.253500,1.655862
-10.343200,-3.098700,1.607601
-10.348900,-2.943900,1.530581
-10.342800,-2.792300,1.431940
-10.322200,-2.644900,1.317295
-10.285800,-2.504400,1.196721
-10.234100,-2.372700,1.060409
-10.166300,-2.251600,0.911674
-10.082400,-2.143300,0.751469
-9.983400,-2.050800,0.589827
-9.869700,-1.974700,0.437737
-9.741500,-1.914700,0.291325
-9.602100,-1.872900,0.148328
-9.454200,-1.850800,0.003846
-9.298200,-1.850200,-0.132898
-9.147100,-1.870400,-0.278300
-9.007800,-1.910200,-0.428278
-8.880100,-1.968500,-0.579919
-8.765300,-2.043700,-0.732540
-8.664800,-2.134100,-0.879184
-8.578600,-2.238200,-1.008069
-8.506000,-2.353300,-1.119881
-8.446300,-2.476600,-1.211362
-8.396700,-2.608600,-1.276280
-8.354900,-2.746400,-0.805224
-8.260154,-2.844979,-0.805224
-8.165408,-2.943558,-0.805224
-8.070663,-3.042137,-0.805224
-7.975917,-3.140717,-0.805224
-7.881171,-3.239296,-0.805224
-7.786425,-3.337875,-0.805224
-7.691679,-3.436454,-0.805224
-7.596933,-3.535033,-0.805224
-7.502188,-3.633612,-0.805224
-7.407442,-3.732192,-0.805224
-7.312696,-3.830771,-0.805224
-7.217950,-3.929350,-0.805224
-7.123204,-4.027929,-0.805224
-7.028458,-4.126508,-0.805224
-6.933713,-4.225087,-0.805224
-6.838967,-4.323667,-0.805224
-6.744221,-4.422246,-0.805224
-6.649475,-4.520825,-0.805224
-6.554729,-4.619404,-0.805224
-6.459983,-4.717983,-0.805224
-6.365238,-4.816562,-0.805224
-6.270492,-4.915142,-0.805224
-6.175746,-5.013721,-0.805224
-6.081000,-5.112300,-0.095796
-5.930100,-5.126800,-0.080302
-5.778500,-5.139000,-0.077024
-5.626900,-5.150700,-0.083853
-5.475800,-5.163400,-0.102968
-5.325800,-5.178900,-0.116020
-5.176500,-5.196300,-0.116020
-5.027200,-5.213700,-0.116020
-4.877900,-5.231100,-0.133558
-4.728300,-5.251200,-0.145262
-4.578600,-5.273100,-0.146570
-4.428900,-5.295200,-0.138152
-4.279300,-5.316000,-0.119904
-4.129900,-5.334000,-0.095015
-3.980900,-5.348200,-0.063215
-3.832400,-5.357600,-0.025653
-3.684300,-5.361400,0.014227
-3.536700,-5.359300,0.057042
-3.389600,-5.350900,0.100007
-3.243100,-5.336200,0.142089
-3.097000,-5.315300,0.179249
-2.951300,-5.288900,0.212690
-2.805900,-5.257500,0.239628
-2.660600,-5.222000,0.257900
-2.515400,-5.183700,0.268814
-2.370200,-5.143700,0.270202
-2.224700,-5.103400,0.262650
-2.078900,-5.064200,0.243209
-1.932600,-5.027900,0.213835
-1.785700,-4.996000,0.200266
-1.638400,-4.966100,0.192828
-1.490900,-4.937300,0.185920
-1.343100,-4.909500,0.181222
-1.195200,-4.882400,0.175751
-1.047100,-4.856100,0.170396
-0.898900,-4.830600,0.167007
-0.750600,-4.805600,0.160993
-0.602200,-4.781500,0.156291
-0.453700,-4.758100,0.149614
-0.305100,-4.735700,0.142838
-0.156300,-4.714300,0.132859
-0.007400,-4.694400,0.121384
0.141800,-4.676200,0.108745
0.291100,-4.659900,0.095362
0.440600,-4.645600,0.081263
0.590400,-4.633400,0.067277
0.740300,-4.623300,0.055277
0.890300,-4.615000,0.043913
1.040500,-4.608400,0.034584
1.190800,-4.603200,0.027290
1.341000,-4.599100,0.021288
1.491300,-4.595900,0.016621
1.641700,-4.593400,0.013306
1.792000,-4.591400,0.011303
1.942400,-4.589700,0.009980
2.092700,-4.588200,0.010638
2.243100,-4.586600,0.013297
2.393500,-4.584600,0.035997
2.596804,-4.577279,0.073737
2.792992,-4.562786,0.112501
2.982071,-4.541424,0.152287
3.164047,-4.513495,0.193091
3.338929,-4.479301,0.234908
3.506722,-4.439144,0.277729
3.667435,-4.393325,0.321546
3.821074,-4.342147,0.366351
3.967646,-4.285912,0.412136
4.107158,-4.224921,0.458894
4.239617,-4.159476,0.506621
4.365031,-4.089880,0.555319
4.483407,-4.016434,0.604993
4.594751,-3.939441,0.655656
4.699070,-3.859202,0.707328
4.796373,-3.776019,0.760039
4.886665,-3.690194,0.813829
4.969953,-3.602029,0.868750
5.046246,-3.511827,0.924866
5.115550,-3.419888,0.982252
5.177871,-3.326515,1.040996
5.233218,-3.232010,1.101198
5.281597,-3.136675,1.162967
5.323015,-3.040812,1.226420
5.357479,-2.944723,1.291677
5.384997,-2.848709,1.358858
5.405575,-2.753073,1.428071
5.419220,-2.658117,1.499410
5.425940,-2.564142,1.572937
5.425742,-2.471450,1.648677
5.418632,-2.380344,1.726599
5.404618,-2.291126,1.806605
5.383706,-2.204096,1.888518
5.355905,-2.119558,1.972076
5.321221,-2.037814,2.056925
5.279660,-1.959164,2.142631
5.231231,-1.883912,2.228686
5.175939,-1.812358,2.314536
5.113793,-1.744806,2.399606
5.044799,-1.681557,2.483333
4.968965,-1.622912,2.565190
4.886297,-1.569175,2.644717
4.796802,-1.520646,2.721535
4.700488,-1.477628,2.795354
4.597361,-1.440423,2.865975
4.487429,-1.409332,2.933284
4.370699,-1.384658,2.997242
4.247177,-1.366703,3.057872
4.116872,-1.355768,3.115247
3.979789,-1.352156,-3.113710
3.835936,-1.356168,-3.062494
3.685321,-1.368106,-3.014140
3.527949,-1.388273,-2.968489
3.363829,-1.416970,-2.925380
3.192966,-1.454500,-2.884651
3.015370,-1.501163,-2.846148
2.831045,-1.557262,-2.809720
2.640000,-1.623100,-2.793389
2.498400,-1.674500,-2.787487
2.357200,-1.726700,-2.783678
2.216300,-1.779400,-2.782433
2.075400,-1.832300,-2.782822
1.934600,-1.885100,-2.784924
1.793700,-1.937600,-2.789128
1.652600,-1.989500,-2.794185
1.511200,-2.040700,-2.801746
1.369500,-2.090800,-2.809533
1.227400,-2.139800,-2.819421
1.084800,-2.187400,-2.829734
0.941800,-2.233500,-2.840892
0.798300,-2.278000,-2.852686
0.654300,-2.320800,-2.864664
0.509700,-2.361900,-2.875457
0.364800,-2.401400,-2.885962
0.219400,-2.439400,-2.894356
0.073600,-2.476200,-2.901132
-0.072400,-2.512000,-2.906617
-0.218600,-2.547000,-2.910007
-0.364900,-2.581500,-2.910807
-0.511300,-2.615900,-2.910007
-0.657600,-2.650400,-2.907264
-0.803800,-2.685300,-2.903228
-0.949900,-2.720800,-2.898228
-1.095700,-2.757000,-2.893711
-1.241500,-2.793900,-2.890160
-1.387100,-2.831300,-2.886774
-1.532600,-2.869200,-2.885319
-1.678000,-2.907300,-2.886774
-1.823500,-2.945200,-2.888872
-1.969100,-2.982800,-2.892258
-2.114800,-3.019900,-2.899194
-2.260800,-3.056000,-2.908065
-2.407100,-3.090800,2.941318
-2.562556,-3.059243,2.919344
-2.711673,-3.025545,2.896285
-2.854494,-2.989790,2.872049
-2.991066,-2.952060,2.846536
-3.121433,-2.912438,2.819633
-3.245640,-2.871006,2.791215
-3.363732,-2.827849,2.761148
-3.475753,-2.783048,2.729280
-3.581749,-2.736688,2.695448
-3.681765,-2.688849,2.659473
-3.775845,-2.639617,2.621160
-3.864034,-2.589072,2.580303
-3.946377,-2.537299,2.536683
-4.022919,-2.484381,2.490074
-4.093705,-2.430399,2.440247
-4.158779,-2.375437,2.386981
-4.218188,-2.319579,2.330074
-4.271974,-2.262906,2.269363
-4.320185,-2.205502,2.204741
-4.362863,-2.147450,2.136183
-4.400055,-2.088833,2.063773
-4.431804,-2.029733,1.987732
-4.458157,-1.970233,1.908433
-4.479157,-1.910417,1.826412
-4.494850,-1.850367,1.742355
-4.505280,-1.790166,1.657077
-4.510493,-1.729897,1.571465
-4.510534,-1.669643,1.486425
-4.505446,-1.609487,1.402817
-4.495276,-1.549512,1.321399
-4.480067,-1.489801,1.242792
-4.459866,-1.430436,1.167454
-4.434716,-1.371501,1.095687
-4.404662,-1.313078,1.027643
-4.369751,-1.255251,0.963354
-4.330025,-1.198102,0.902754
-4.285531,-1.141714,0.845708
-4.236313,-1.086170,0.792032
